Date,MyWay,Paper Ticket,Total
16/08/2019,15793,501,16294
06/06/2019,14410,286,14696
11/10/2019,14476,857,15333
05/06/2019,14168,302,14470
30/10/2019,15031,433,15464
10/11/2019,5292,385,5677
23/10/2019,16042,453,16495
23/09/2019,15079,389,15468
10/09/2019,14826,460,15286
12/02/2020,15654,479,16133
03/11/2019,4356,324,4680
05/01/2020,2267,445,2712
15/11/2019,15656,627,16283
15/09/2019,5794,522,6316
27/05/2019,5192,362,5554
24/10/2019,15947,458,16405
05/10/2019,7397,1002,8399
11/12/2019,14725,555,15280
27/04/2019,7124,1320,8444
01/06/2019,7349,602,7951
04/08/2019,5328,430,5758
09/08/2019,13468,409,13877
01/01/2020,2402,391,2793
30/12/2019,5182,457,5639
29/09/2019,5934,595,6529
18/08/2019,5051,379,5430
26/08/2019,14859,404,15263
07/07/2019,4891,480,5371
19/12/2019,12952,621,13573
19/01/2020,4526,397,4923
27/01/2020,3875,343,4218
30/04/2019,16549,274,16823
14/02/2020,15955,764,16719
25/07/2019,15639,426,16065
02/01/2020,7063,985,8048
26/04/2019,9074,1143,10217
21/12/2020,8081,374,8455
19/12/2020,5314,426,5740
22/12/2020,8228,402,8630
23/12/2020,7794,432,8226
24/12/2020,6272,315,6587
16/06/2021,11378,298,11676
29/06/2021,9037,350,9387
26/12/2020,4187,363,4550
27/12/2020,3471,249,3720
28/12/2020,3584,320,3904
05/07/2021,9207,319,9526
29/12/2020,4811,361,5172
25/12/2020,512,10,522
30/12/2020,4872,386,5258
01/01/2021,2784,283,3067
02/01/2021,3988,354,4342
03/01/2021,2855,194,3049
31/12/2020,5471,728,6199
04/01/2021,6679,312,6991
05/01/2021,7590,384,7974
07/01/2021,7670,307,7977
06/01/2021,7363,310,7673
08/01/2021,7926,427,8353
09/01/2021,4647,391,5038
10/01/2021,2498,143,2641
11/01/2021,6153,167,6320
12/01/2021,6220,254,6474
13/01/2021,6304,219,6523
14/01/2021,6344,226,6570
15/01/2021,6627,304,6931
16/01/2021,3172,222,3394
17/01/2021,2255,142,2397
18/01/2021,6403,191,6594
19/01/2021,7029,219,7248
21/01/2021,6804,246,7050
23/01/2021,2988,229,3217
22/01/2021,6780,268,7048
24/01/2021,3097,212,3309
20/01/2021,6952,233,7185
25/01/2021,6921,283,7204
26/01/2021,3356,187,3543
27/01/2021,8927,323,9250
28/01/2021,8744,301,9045
30/01/2021,4874,454,5328
29/01/2021,8256,342,8598
31/01/2021,3852,254,4106
03/02/2021,11374,292,11666
02/02/2021,10872,326,11198
07/02/2021,4210,336,4546
06/02/2021,4655,451,5106
04/02/2021,11279,311,11590
05/02/2021,11334,437,11771
08/02/2021,11054,325,11379
09/02/2021,11508,318,11826
10/02/2021,11779,360,12139
11/02/2021,11528,386,11914
12/02/2021,10822,417,11239
13/02/2021,5459,475,5934
14/02/2021,4197,356,4553
11/06/2020,6302,204,6506
15/02/2021,11080,358,11438
20/02/2021,5513,468,5981
21/02/2021,3849,226,4075
18/02/2021,11436,359,11795
16/02/2021,11213,364,11577
24/02/2021,11948,331,12279
17/02/2021,11762,388,12150
19/02/2021,11576,513,12089
22/02/2021,11172,322,11494
23/02/2021,11877,334,12211
26/02/2021,11997,530,12527
25/02/2021,11722,376,12098
03/03/2021,12259,391,12650
02/03/2021,12140,379,12519
27/02/2021,5731,589,6320
28/02/2021,3975,308,4283
04/03/2021,11742,365,12107
07/03/2021,4226,483,4709
08/03/2021,3678,256,3934
11/03/2021,11628,337,11965
10/03/2021,11726,342,12068
09/03/2021,11916,368,12284
